spotify_uri,artist,track_name,first_seen_utc,playlist_uri,context
spotify:track:3e71hLM6sy8xYBGRzO7thE,Santiago Penitente,Auroras Boreales,2026-03-26T21:42:28.811Z,,BasslineRequests
spotify:track:3eb7YLFzZGU7caNDQbZDfh,Sol Reya,Waves of the Unconscious Mind,2026-01-06T23:09:22.970Z,,BasslineRequests
spotify:track:3esxB8Nt0n2JoHcZ5DGMed,This Will Destroy You,Threads,2026-02-02T23:21:06.767Z,,BasslineRequests
spotify:track:3fcZDj24gbPctyec0MHYTs,Sessa,Sereia Sentimental,2026-01-11T21:07:44.010Z,,BasslineRequests
spotify:track:3gkMLP0M8LxWzB4BpedO1X,messwave,Top G,2026-03-21T23:42:04.663Z,spotify:playlist:7HRSsuGlxMuQjKPps1iOXv,AddedToPlaylist
spotify:track:3h1NlHWQSl6E2XZOJPkV7Q,Metric,Collect Call,2026-02-07T18:30:29.370Z,,BasslineRequests
spotify:track:3hb4W4FUPjyWUbYY2Sfih5,Deftones,976-EVIL,2026-01-03T00:01:15.884Z,,BasslineRequests
spotify:track:3hmX5dfwY9oRIpJKvt755u,Avenged Sevenfold,Second Heartbeat,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:3iYV8e2fMA4rAf7ftHX8dy,Caer Ibormeith,Feathers in Echo,2026-01-07T04:45:58.482Z,,AudioResolve
spotify:track:3idFv669ktsyoUI59jotvF,The White Noise Travelers,Pink Noise Naps,2026-02-02T23:21:00.871Z,,BasslineRequests
spotify:track:3ir7NPtQGWMiVSQo3q47Uk,Deep Seek,Somber Felt,2026-01-08T22:08:02.901Z,,BasslineRequests
spotify:track:3klPNiQxeAqUZrCSQ7uvfS,Nine Inch Nails,Still Right Here,2025-12-31T23:01:00.284Z,,BasslineRequests
spotify:track:3lpDrxUkr0tIe1kmJvdK7d,Rush,YYZ,2026-01-07T00:04:10.855Z,,BasslineRequests
spotify:track:3mOcwPVOL5K5oGw3f8rUuM,This Will Destroy You,Leather Wings,2026-02-02T23:21:06.729Z,,BasslineRequests
spotify:track:3nd4JyjkxQodjjvQd5Gmgd,Okonski,Wind Or Vertigo,2026-01-11T07:17:07.432Z,,BasslineRequests
spotify:track:3okCsBWWv7okRgaTnMQ2Fp,Buena Vista Social Club,Dos Gardenias,2026-02-12T16:39:48.091Z,,BasslineRequests
spotify:track:3pGuiPs0xYYOHr6FKNZVmA,Ochre,Glassmaker,2026-01-10T21:07:11.560Z,,BasslineRequests
spotify:track:3pShTDa5E1bPBkrc1mxxGY,grandson,Dirty,2026-02-23T02:31:22.390Z,,BasslineRequests
spotify:track:3q3MXI7TXxfrzGLMlNcWA8,Sky Sailor,Opening,2026-03-26T21:42:28.811Z,,BasslineRequests
spotify:track:3qiF3gFKTh028uvGqNDgOX,Ocean Grove,JUNKIE$,2026-02-26T16:25:00.919Z,,AudioResolve
spotify:track:3qnQujEjvj9qJxZul8OMTE,"Pedro Mizutani, Skinshape",Canal,2026-01-31T07:16:39.553Z,,AudioResolve
spotify:track:3sHH7lklbfpcraDDvYnjo7,Avenged Sevenfold,Bat Country,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,2026-02-09T14:56:21.411Z,,AudioResolve
spotify:track:3t8Ue1ixZvUATDR0P4UOrG,turquoise waters,Set Sail,2026-01-08T23:09:07.077Z,,BasslineRequests
spotify:track:3tCTLlrFHWJma62WBzD03d,Pedro Ricardo,Faces Sob O Sol,2026-01-11T07:41:24.254Z,,AudioResolve
spotify:track:3tStOcFiywPGhxVu8zPrn2,HummusVacuum,G-U-I-L-L-O-T-I-N-E,2026-02-26T16:05:14.524Z,,AudioResolve
spotify:track:3txlvthoUa9vWvG1zr2Lnr,Deftones,infinite source,2026-01-02T20:12:36.463Z,,BasslineRequests
spotify:track:3uX9EWRXLABuNEhlGkMo4F,deadmau5,Whelk Then,2026-01-10T20:22:30.518Z,,AudioResolve
spotify:track:3uesorUD9PmF9ivETswc3o,Sofia Garcia,Bare Sky,2026-03-26T21:42:28.770Z,,BasslineRequests
spotify:track:3v32VtMTRZbIQJUFsQpeJD,"Joe Arroyo, La Verdad",Rebelión,2026-02-12T16:53:22.475Z,,BasslineRequests
spotify:track:3v4kFsrw1MvMINt5EX052q,The Sleep Phasers,Pink Noise for my Soul,2026-02-02T23:21:00.871Z,,BasslineRequests
spotify:track:3vYP5IgBfHv9nWbNhTq3IS,Avenged Sevenfold,Coming Home,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:3w7HsypY4YB3cBJcx4EXOb,This Will Destroy You,Rituals,2026-02-02T23:21:06.767Z,,BasslineRequests
spotify:track:3wM6RTAnF7IQpMFd7b9ZcL,Carpenters,Yesterday Once More,2026-03-08T08:04:02.576Z,,AudioResolve
spotify:track:3wMyxsZByy8BDYSwv6ZvF0,Maromaro,Moonlighting,2026-03-05T20:40:22.083Z,,BasslineRequests
spotify:track:3wSlHCwo05i7KgIhiCioFJ,The Circling Sun,Amina,2026-01-11T08:18:09.894Z,,BasslineRequests
spotify:track:3xogCrlDsnIZ7nQo8VvRL6,Mogwai,Kids Will Be Skeletons,2026-03-03T03:06:38.767Z,,AudioResolve
spotify:track:3xqphesjm6paYsZjBqYSaA,Kublai Khan TX,The Hammer,2026-03-03T16:22:05.587Z,spotify:playlist:7DOUp4LwMVEqpnPOF3oeRC,AddedToPlaylist
spotify:track:3xshG2X54CHRnH2DqeCUMm,Utmost-@mos,Atmospherical Pink Noise,2026-02-02T23:21:00.864Z,,BasslineRequests
spotify:track:3yKVcZ0YrGBEMBSLvaGPHb,Soundgarden,Fell On Black Days,2026-01-04T01:39:11.287Z,,BasslineRequests
spotify:track:3ywT26BnBxt1hSyXphVRu2,Austeria,Tippy,2026-02-07T22:12:45.376Z,spotify:playlist:3UqoL2pn0nLAdDp9KiLsuh,AddedToPlaylist
spotify:track:3zK2IUdvnOaKWC3yCP0P3C,"Nickodemus, Quantic, Tempo",Mi Swing es Tropical,2026-02-12T16:42:52.699Z,,BasslineRequests
spotify:track:3zjBIrAVl4seuKfLVk4Iip,Astral Lighthouse,2am Chime,2026-03-26T21:42:28.811Z,,BasslineRequests
spotify:track:401geNb9B5l7bFzi53Z3oP,"Hamdi, Fred again.., Danny Brown, BEAM, PARISI, JPEGMAFIA",OK OK - Hamdi remix,2026-02-07T22:12:45.376Z,spotify:playlist:3UqoL2pn0nLAdDp9KiLsuh,AddedToPlaylist
spotify:track:40Gp0YR5kj8vT7Z55YzTFM,The xx,Fiction,2026-01-03T22:02:58.127Z,,BasslineRequests
spotify:track:40aJIlRvCwR47kuBB8VArn,212soundworks,極悪なリフのデスメタル,2026-03-03T16:22:05.587Z,spotify:playlist:7DOUp4LwMVEqpnPOF3oeRC,AddedToPlaylist
spotify:track:40gtc8CqWgi9KXY6tbxI8z,Xella Machina,Pink Noise to Help Focus,2026-02-02T23:26:51.126Z,,BasslineRequests
spotify:track:41A8eMmYi82MPUw8M3Nq7E,This Will Destroy You,Go Away Closer,2026-02-02T23:21:06.767Z,,BasslineRequests
spotify:track:41labfyDVOAJP3bhKk7unE,Spaced Out Dreams,Close your Eyes,2026-01-07T04:14:31.243Z,,BasslineRequests
spotify:track:41w9aB0cSwEHLjsLOTFHh4,This Will Destroy You,Provoke,2026-02-02T23:21:06.729Z,,BasslineRequests
spotify:track:41yfGYaNFaCa9fsN0pqUWd,Angine de Poitrine,Ababa Hotel,2026-03-05T00:49:35.164Z,,BasslineRequests
spotify:track:42Kv1RoTAm09FeytxiuZIB,Deftones,Knife Prty,2026-01-02T23:09:58.241Z,,BasslineRequests
spotify:track:42oDn8qC9g7DAAwjR3MAQt,Avenged Sevenfold,Dancing Dead,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:45KsTd0ZqKlgw0fNc8oyC5,Skeler,Tel Aviv,2026-03-21T23:42:04.663Z,spotify:playlist:7HRSsuGlxMuQjKPps1iOXv,AddedToPlaylist
spotify:track:45mFvced77AdCf794dLMOH,Yarin Primak,Engines Ready,2026-03-21T23:42:04.663Z,spotify:playlist:7HRSsuGlxMuQjKPps1iOXv,AddedToPlaylist
spotify:track:46J5SC9omCQSRyCdnyNmys,Amon Tobin,Vipers Follow You,2026-01-10T23:09:02.050Z,,AudioResolve
spotify:track:47VZq30OeDYQrUHtg6ExOu,Sufy,Beloved,2026-01-16T16:29:29.540Z,,AudioResolve
spotify:track:47uKYj4m2jFuSkDpO830ew,This Will Destroy You,New Promise Land Inc.,2026-02-02T23:21:06.767Z,,BasslineRequests
spotify:track:49aVsIRxEqD5InHDDXzPi7,Smoothe Sounds,Pink Noise Slow Down,2026-01-30T17:03:04.345Z,,BasslineRequests
spotify:track:4AceLXyYR162UTgyrNiet8,Lau Ro,Metamorfose,2026-01-11T21:07:37.409Z,,BasslineRequests
spotify:track:4ApvuCjlZNe3RoIFoBX29y,Edu Lobo,Zum-Zum,2026-01-12T04:53:21.054Z,,BasslineRequests
spotify:track:4B5el6QHxMK4mjiA8QDvLh,Lóni Alma,Cesula,2026-01-06T17:24:13.936Z,,BasslineRequests
