spotify_id,artist,track_name,duration,date_added
5hSTBY6xBkx60qPVseOKFX,LCD Soundsystem,tonite - Recorded at Electric Lady Studios NYC,5:45,2025-12-03
0cahtHEywK64NSWqm2SDTi,Metric,Help I'm Alive,4:46,2025-11-28
6GtX0jaNL8IjVQfrDBx81z,The Smashing Pumpkins,Bullet With Butterfly Wings,4:18,2025-11-28
1NiAMp0CzUdG6e97VYRB1a,Neutral Milk Hotel,"In the Aeroplane Over the Sea",3:22,2025-11-28
1JbUMtVkQuaAPdHOvncVTm,Elliott Smith,Between the Bars,2:21,2025-11-28
2a1iMaoWQ5MnvLFBDv4qkf,Radiohead,High and Dry,4:17,2025-11-28
6vTtCOimcPs5H1Jr9d0Aep,Portishead,Sour Times,4:12,2025-11-28
1LzNfuep1bnAUR9skqdHCK,Mazzy Star,Fade Into You,4:56,2025-11-28
5yc59J3MR3tVDPTOgwgRI5,Death Cab for Cutie,Soul Meets Body,3:49,2025-11-28
5kHkaBN8OEQlmXfQkACxSt,A Perfect Circle,3 Libras,3:40,2025-11-28
2lwwrWVKdf3LR9lbbhnr6R,Modest Mouse,Float On,3:28,2025-11-28
5kguToT39QaxxYEuPwFkp6,The Smashing Pumpkins,"Tonight Tonight",4:16,2025-11-28
1st2ldrAppYwbJmbXucFhD,The Comet Is Coming; Kae Tempest,Blood Of The Past,8:15,2025-11-25
1oAwsWBovWRIp7qLMGPIet,Cigarettes After Sex,Apocalypse,4:50,2025-11-24
3ix6K4wZY29bCujrSznwFZ,David Bowie,Let's Dance,7:38,2025-11-24
2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,3:27,2025-11-24
5OPT7l9b5SMwfTQgLPoNl7,Erik Satie; Philippe Entremont,"Gymnopédie No. 1",3:26,2025-11-24
78kPi2sLwSmILgJXz7wQxg,Jon Hopkins,Small Memory,1:41,2025-11-24
0E8q2Fx2XuzXCO2NSAppkR,Duke Ellington; John Coltrane,In A Sentimental Mood,4:15,2025-11-24
1oht5GevPN9t1T3kG1m1GO,James Taylor,Fire and Rain,3:24,2025-11-24
5rAff9XfcWx7rguN3t0fkW,LCD Soundsystem,New York I Love You but You're Bringing Me Down,5:35,2025-11-24
6tifCCTIVBLC2TmTquYG7G,Skrillex; Boys Noize; Opus III,Fine Day Anthem,3:14,2025-11-24
7pEgoRnaGClhAZYI6pw0z2,Altan Urag,Mother Mongolia,3:26,2025-11-22
